209441,5,Alive,Poor,American elm,10453,Bronx,1007038.864,247645.678
206435,26,Alive,Good,sycamore maple,11235,Brooklyn,994580.2608,154517.4623
196080,36,Alive,Good,London planetree,11415,Queens,1031884.671,196153.4808
203759,16,Alive,Good,London planetree,11105,Queens,1008594.76,223738.0959
190359,13,Alive,Fair,London planetree,10021,Manhattan,995621.6364,220621.6592
209909,2,Alive,Good,American elm,10457,Bronx,1010011.314,248279.1072
180295,2,Alive,Good,American elm,10023,Manhattan,988981.6661,219856.3989
208373,4,Alive,Good,London planetree,10024,Manhattan,991011.4251,224042.0205
196205,22,Alive,Good,London planetree,11204,Brooklyn,990685.7187,162566.1831
192086,28,Alive,Good,London planetree,11209,Brooklyn,974553.5991,165672.8255
203550,42,Alive,Good,London planetree,11375,Queens,1024601.345,199136.9755
203718,12,Alive,Good,London planetree,11105,Queens,1008890.341,224392.2626
208832,3,Alive,Poor,London planetree,11205,Brooklyn,994947.9979,191494.4858
193183,3,Alive,Good,Amur maple,11375,Queens,1029075.601,200552.0983
203577,26,Alive,Good,London planetree,11375,Queens,1024442.665,198885.2965
179477,3,Alive,Poor,London planetree,11215,Brooklyn,989595.611,182731.6671
203386,26,Alive,Good,London planetree,11375,Queens,1025241.512,198945.469
189537,18,Alive,Good,London planetree,11215,Brooklyn,991669.8395,183026.6639
196130,24,Alive,Good,London planetree,11204,Brooklyn,990575.261,162697.275
200676,32,Alive,Good,London planetree,11230,Brooklyn,995230.7746,166913.0993
206326,13,Alive,Good,London planetree,11370,Queens,1014030.02,218659.2104
204118,11,Alive,Good,London planetree,10306,Staten Island,945332.4571,146509.4787
192653,22,Alive,Good,London planetree,11223,Brooklyn,993604.1092,153509.8098
203592,38,Alive,Good,London planetree,11375,Queens,1024597.415,199215.0104
189338,18,Alive,Good,London planetree,11205,Brooklyn,993577.0719,192560.4552
208240,2,Alive,Good,London planetree,10024,Manhattan,991793.0092,224305.1059
208247,29,Alive,Fair,American elm,10024,Manhattan,991703.0222,224365.9319
204203,11,Alive,Fair,London planetree,10306,Staten Island,945596.3243,146511.1713
203385,23,Alive,Good,London planetree,11375,Queens,1025251.111,198965.7081
196372,12,Alive,Good,London planetree,10002,Manhattan,986597.1777,200456.5873
192889,27,Alive,Good,London planetree,11229,Brooklyn,998514.6975,161514.3817
203760,2,Alive,Good,London planetree,11105,Queens,1008615.764,223760.8954
203767,14,Alive,Good,London planetree,11105,Queens,1008878.661,224046.2531
208458,2,Alive,Good,London planetree,11358,Queens,1040172.259,219009.169
209919,9,Alive,Good,London planetree,10027,Manhattan,994405.4269,233951.0486
198296,29,Alive,Good,London planetree,11203,Brooklyn,1004850.213,174821.2216
204169,20,Alive,Fair,London planetree,10306,Staten Island,946793.0936,146010.6273
208338,5,Alive,Fair,London planetree,10024,Manhattan,991256.7399,224485.4917
196131,29,Alive,Good,London planetree,11204,Brooklyn,990694.9353,162602.5925
196374,13,Alive,Good,London planetree,10002,Manhattan,986570.8005,200388.7341
208463,14,Alive,Good,ash,10019,Manhattan,987199.5289,217304.3223
201661,6,Alive,Good,London planetree,11375,Queens,1025649.379,199800.7215
203769,3,Alive,Good,London planetree,11105,Queens,1008940.32,224113.1798
208456,36,Alive,Good,London planetree,11358,Queens,1040239.857,219001.7881
209921,3,Alive,Good,London planetree,10027,Manhattan,994380.9994,233926.6401
189840,13,Alive,Good,Amur maple,11355,Queens,1032301.821,211951.2212
203887,5,Alive,Good,willow oak,10025,Manhattan,995124.5475,232827.1256
200654,6,Alive,Fair,Amur maple,11355,Queens,1030399.461,214260.5856
196440,5,Alive,Fair,American elm,10115,Manhattan,994181.3574,234801.2532
204246,8,Alive,Good,hedge maple,10306,Staten Island,946560.7433,145916.8181
193014,22,Alive,Good,pin oak,11212,Brooklyn,1005832.846,181644.3038
180707,17,Alive,Fair,pin oak,11210,Brooklyn,996326.9804,167712.8615
198230,10,Alive,Good,red maple,10312,Staten Island,930839.0779,135842.1992
192814,7,Alive,Good,pin oak,10014,Manhattan,982850.6655,208871.6076
179828,1,Alive,Good,red maple,10002,Manhattan,986689.6021,202248.5332
196765,20,Alive,Fair,pin oak,11415,Queens,1031489.691,196716.9678
178599,13,Alive,Good,pin oak,10312,Staten Island,940793.851,133121.865
208229,5,Alive,Good,pin oak,10024,Manhattan,991900.9617,224256.0371
189313,2,Alive,Good,pin oak,11374,Queens,1024160.006,204823.5163
208876,20,Alive,Good,pin oak,11105,Queens,1007421.649,221276.8419
